CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,DOMINANT,PHOTO_URL,TONO_PIEL_KMEDIAS
1507,15,MEXICO,7,CUAUTITLAN IZCALLI,168129,186661,0,354790,1308,Xochitl Nashielly Zagal Ramírez,MORENA,#EBD0CE,,,#7f9dce
1508,15,MEXICO,8,TULTITLAN,165670,180037,0,345707,4935,Anay Beltran Reyes,MORENA, ,,,#91abdc
1509,15,MEXICO,9,SAN FELIPE DEL PROGRESO,151462,169610,0,321072,4936,Iván Marín Rangel,MORENA, ,,,#7a87bd
1510,15,MEXICO,10,ECATEPEC DE MORELOS,144817,158279,0,303096,3233,Luis Fernando Vilchis Contreras,MORENA, ,,,#91a2e1
1511,15,MEXICO,11,ECATEPEC DE MORELOS,160377,173956,1,334334,4856,Xochitl Teresa Arzola Vargas,MORENA,#917153,,,#858fb9
1512,15,MEXICO,12,IXTAPALUCA,136695,149757,0,286452,1420,Armando Corona Arvizu,PVEM,#DEB6AD,,,#6183bf
1513,15,MEXICO,13,ECATEPEC DE MORELOS,178565,198655,0,377220,4857,Alma Monserrat Córdoba Navarrete,MORENA, ,,,#6078b0
1514,15,MEXICO,14,ACOLMAN,125786,140442,0,266228,4915,Claudia Leticia Garfias Alcantara,PVEM,#B29679,,,#8191ca
1515,15,MEXICO,15,ATIZAPAN DE ZARAGOZA,174022,190390,0,364412,4916,Josefina Anaya Martínez,MORENA,#DEB6AD,,,#7b97cf
1516,15,MEXICO,16,ECATEPEC DE MORELOS,155349,165454,0,320803,4917,Emilio Manzanilla Téllez,PVEM,#B29679,,,#7284ba
1517,15,MEXICO,17,ECATEPEC DE MORELOS,131337,144631,0,275968,4858,Juan Hugo De La Rosa García,MORENA,#785E4B,,,#9d9fcd
1518,15,MEXICO,18,HUIXQUILUCAN,169323,189412,0,358735,6748,Claudia Sánchez Juárez,PVEM, ,,,#97a9d0
1519,15,MEXICO,19,TLALNEPANTLA DE BAZ,194085,216510,0,410595,4919,Gabriela Valdepeñas González,PT, ,,,#55648e
1520,15,MEXICO,20,TECAMAC,112927,127404,1,240332,4920,Montserrat Ruiz Paez,MORENA,#917153,,,#97a6c2
1521,15,MEXICO,21,AMECAMECA,145196,163582,0,308778,4921,Iván Millán Contreras,MORENA, ,,,#707faa
1522,15,MEXICO,22,NAUCALPAN DE JUAREZ,169504,191104,0,360608,4837,Martha Amalia Moya Bastón,PAN,#B29679,,,#819aca
1523,15,MEXICO,23,LERMA,149972,166097,1,316070,4923,Luis Alberto Carballo Gutiérrez,MORENA, ,,,#98baed
1524,15,MEXICO,24,NAUCALPAN DE JUAREZ,199345,210736,0,410081,4924,José Luis Durán Reveles,PT, ,,,#9ebeef
1525,15,MEXICO,25,CHIMALHUACAN,144346,157520,0,301866,4925,Leide Avilés Domínguez,PVEM, ,,,#6883bc
1526,15,MEXICO,26,TOLUCA,159491,179751,1,339243,4926,Luis Enrique Miranda Barrera,PVEM, ,,,#a3c2ec
1527,15,MEXICO,27,METEPEC,170374,192553,0,362927,6791,Wblester Santiago Pineda,MORENA, ,,,#749fd9
1528,15,MEXICO,28,ZUMPANGO,128677,142051,0,270728,1323,Roberto Ángel Domínguez Rodríguez,PT,#917153,,,#bdd9f5
1529,15,MEXICO,29,NEZAHUALCOYOTL,168686,185661,0,354347,4859,Gerardo Ulloa Pérez,MORENA,#B29679,,,#4e64a6
1530,15,MEXICO,30,CHIMALHUACAN,136070,149306,0,285376,1426,César Agustín Hernández Pérez,MORENA,#B29679,,,#b9beee
1531,15,MEXICO,31,NEZAHUALCOYOTL,174908,191508,0,366416,1324,Juan Ángel Bautista Bravo,MORENA,#B29679,,,#839edd
1532,15,MEXICO,32,VALLE DE CHALCO SOLIDARIDAD,136596,146317,0,282913,1427,Luis Enrique Martínez Ventura,PVEM,#B29679,,,#8391ba
1533,15,MEXICO,33,CHALCO,136854,153077,0,289931,4860,Anais Miriam Burgos Hernández,MORENA,#917153,,,#5269a5
1534,15,MEXICO,34,TOLUCA,177456,203776,0,381232,4929,Mónica Angélica Álvarez Nemer,MORENA, ,,,#4c78aa
1535,15,MEXICO,35,TENANCINGO,159956,183454,0,343410,1429,Arturo Roberto Hernández Tapia,PVEM,#DEB6AD,,,#bfc7e2
1536,15,MEXICO,36,TEJUPILCO,154091,167603,0,321694,1162,Juan Carlos Varela Domínguez,MORENA,#DEB6AD,,,#92a2c8
1537,15,MEXICO,37,TEOLOYUCAN,161409,174158,0,335567,4930,Pedro Mario Zenteno Santaella,MORENA, ,,,#89b0c7
1538,15,MEXICO,38,TEXCOCO,139426,155424,0,294850,4931,Jesús Martín Cuanalo Araujo,MORENA, ,,,#7392c1
1539,15,MEXICO,39,LA PAZ,137082,150600,0,287682,1430,José Luis Montalvo Luna,MORENA,#B29679,,,#a5bce1
1540,15,MEXICO,40,ZINACANTEPEC,172261,192196,0,364457,6857,Azucena Huerta Romero,PT, ,,,#7a8eb8
1601,16,MICHOACAN DE OCAMPO,1,LAZARO CARDENAS,152555,157390,0,309945,1461,Leonel Godoy Rangel,MORENA,#DEB6AD,,,#566dae
1602,16,MICHOACAN DE OCAMPO,2,APATZINGAN,155182,161056,0,316238,4958,José Luis Cruz Lucatero,MORENA,#B29679,,,#4c5b84
1603,16,MICHOACAN DE OCAMPO,3,ZITACUARO,173760,190328,0,364088,1512,Mary Carmen Bernal Martínez,PVEM,#917153,,,#a0b5d6
1604,16,MICHOACAN DE OCAMPO,4,JIQUILPAN,153620,167344,0,320964,4959,Rosa Guadalupe Ortega Tiburcio,MORENA, ,,,#93c2e9
1605,16,MICHOACAN DE OCAMPO,5,ZAMORA,172981,191373,0,364354,4960,Delhi Miroslava Shember Domínguez,PT, ,,,#8c9bd5
1606,16,MICHOACAN DE OCAMPO,6,HIDALGO,167498,184350,0,351848,4961,José Luis Téllez Marín,MORENA,#917153,,,#718ab2
1607,16,MICHOACAN DE OCAMPO,7,ZACAPU,186605,205799,0,392404,4962,Marcela Velazquez Vazquez,MORENA, ,,,#969db2
1608,16,MICHOACAN DE OCAMPO,8,MORELIA,157162,174670,0,331832,4963,Ernesto Nuñez Aguilar,PT, ,,,#7b91ca
1609,16,MICHOACAN DE OCAMPO,9,URUAPAN,153654,170437,0,324091,6750,Guadalupe Araceli Mendoza Arias,C7, ,,,#becdec
1610,16,MICHOACAN DE OCAMPO,10,MORELIA,159815,180598,0,340413,3569,David Alejandro Cortés Mendoza,PAN,#EBD0CE,,,#647399
